Participant,Group,Condition,ReactionTime
Sub-111,1.0,happy_sad,0.6928459153904651
Sub-111,1.0,sad_happy,0.5383348199849327
Sub-111,1.0,sad_sad,0.5839390666573309
Sub-112,1.0,happy_happy,0.6178606466676381
Sub-112,1.0,happy_sad,0.8662540166654557
Sub-112,1.0,sad_happy,0.8683283642853244
Sub-112,1.0,sad_sad,0.6887944461542737
Sub-113,1.0,happy_happy,0.7550336466675314
Sub-113,1.0,happy_sad,1.0585966999978365
Sub-113,1.0,sad_happy,0.7272904999969926
Sub-113,1.0,sad_sad,0.8597011230774044
Sub-114,1.0,happy_happy,1.0830546923076467
Sub-114,1.0,happy_sad,1.0177779699999974
Sub-114,1.0,sad_happy,1.0652414272728328
Sub-114,1.0,sad_sad,1.0274406363636528
Sub-115,1.0,happy_happy,0.7802851333321693
Sub-115,1.0,happy_sad,0.6665953615380343
Sub-115,1.0,sad_happy,0.6189405399995546
Sub-115,1.0,sad_sad,0.7102636333341555
Sub-116,1.0,happy_happy,1.0109162266676626
Sub-116,1.0,happy_sad,1.1128000615236278
Sub-116,1.0,sad_happy,1.1126252571287163
Sub-116,1.0,sad_sad,1.0181575461398238
Sub-117,1.0,happy_happy,0.6205364998895675
Sub-117,1.0,happy_sad,0.4566256001126021
Sub-117,1.0,sad_sad,0.8158218001481146
Sub-118,1.0,happy_happy,0.6869234400141674
Sub-118,1.0,happy_sad,0.8115605583346527
Sub-118,1.0,sad_happy,0.7422360199969262
Sub-118,1.0,sad_sad,0.6428888933345055
Sub-119,2.0,happy_happy,0.6915244785736182
Sub-119,2.0,happy_sad,0.8143674750026548
Sub-119,2.0,sad_happy,0.6682567799968334
Sub-119,2.0,sad_sad,0.7249607533255281
Sub-120,1.0,happy_happy,0.9478768923033316
Sub-120,1.0,happy_sad,1.0694246916876484
Sub-120,1.0,sad_happy,0.8177588153630495
Sub-120,1.0,sad_sad,0.9509291916522974
Sub-121,1.0,happy_happy,0.676299406667628
Sub-121,1.0,happy_sad,0.9054904066647091
Sub-121,1.0,sad_happy,0.6347853066710134
Sub-121,1.0,sad_sad,0.7248884733339461
Sub-122,1.0,happy_happy,0.5517178600006446
Sub-122,1.0,happy_sad,0.8677565642854981
Sub-122,1.0,sad_happy,0.6694976083332828
Sub-122,1.0,sad_sad,0.6209159866669022
Sub-123,2.0,happy_happy,0.4540811266653085
Sub-123,2.0,happy_sad,0.6031857142858955
Sub-123,2.0,sad_happy,0.5709690533355266
Sub-123,2.0,sad_sad,0.6619838933334298
Sub-124,1.0,happy_happy,0.5502284266675512
Sub-124,1.0,happy_sad,0.6324919666609882
Sub-124,1.0,sad_happy,0.4766313199982202
Sub-124,1.0,sad_sad,0.6301556999989164
Sub-125,2.0,happy_happy,0.6599845666671171
Sub-125,2.0,happy_sad,0.8102102200073811
Sub-125,2.0,sad_happy,0.8588891533358644
Sub-125,2.0,sad_sad,0.5997292199870572
Sub-126,2.0,happy_happy,0.601603306666948
Sub-126,2.0,happy_sad,0.6863931071295936
Sub-126,2.0,sad_happy,0.6812625076854602
Sub-126,2.0,sad_sad,0.718743858335074
Sub-127,2.0,happy_happy,0.4928599533236896
Sub-127,2.0,happy_sad,0.614983128566694
Sub-127,2.0,sad_happy,0.5055596199895566
Sub-127,2.0,sad_sad,0.4429694357427901
Sub-128,1.0,happy_happy,0.5669435000008283
Sub-128,1.0,happy_sad,0.7116253363598265
Sub-128,1.0,sad_happy,0.5825000357123956
Sub-128,1.0,sad_sad,0.8334159571386408
Sub-129,1.0,happy_happy,0.5287379866776367
Sub-129,1.0,happy_sad,0.5707022785874349
Sub-129,1.0,sad_happy,0.5178004733364409
Sub-129,1.0,sad_sad,0.6733062133348237
Sub-130,1.0,happy_happy,0.619436806673184
Sub-130,1.0,happy_sad,0.9343987071354476
Sub-130,1.0,sad_happy,0.7570165266632103
Sub-130,1.0,sad_sad,0.6544497428611586
Sub-131,1.0,happy_happy,0.8156218555458408
Sub-131,1.0,happy_sad,0.7987921000021743
Sub-131,1.0,sad_happy,0.8196019999973941
Sub-131,1.0,sad_sad,0.9014264333285004
